,ProductName,PriceSale,Brand,RamCapacity,DisplaySize,DisplayResolution,CPUBrand,PinCapacity,PinCell,Bluetooth,Weight,OS,DiskSpace
136,Apple Mac mini M1 16GB 512GB 2020 I Chính hãng Apple Việt Nam,29500000,APPLE,16,,,,,,5,1.2,MACOS,512
137,Laptop MSI Gaming GF75 THIN 10SCSR-013VN,21590000,MSI,8,17.3,1920x1080,INTEL,51.0,3,5,2.2,WINDOW,512
138,Laptop Lenovo Legion 7 16ACHG6 82N600NUVN,48990000,LENOVO,16,16.0,2560x1600,INTEL,80.0,,5,2.5,WINDOW,1024
139,Laptop MSI Modern 15 A10MU-667VN,16290000,MSI,8,15.6,1920x1080,INTEL,52.0,3,,1.6,WINDOW,512
140,Laptop MSI Modern A5M 239VN,15890000,MSI,8,15.6,1920x1080,INTEL,52.0,3,5,1.6,,512
141,Laptop Lenovo ThinkBook 15 G3 ACL 21A400CHVN,13790000,LENOVO,8,15.6,1920x1080,INTEL,45.0,,5,1.7,WINDOW,512
142,Laptop Dell Gaming G15 5511,21990000,DELL,8,15.6,1920x1080,INTEL,56.0,3,5,2.81,WINDOW,256
143,Laptop MSI Modern 14 B5M 202VN,13490000,MSI,8,14.0,1920x1080,INTEL,39.0,3,5,1.3,WINDOW,512
144,Macbook Pro 16 inch 2021 | Chính hãng Apple Việt Nam,60000000,APPLE,16,16.2,3456x2234,INTEL,,,5,2.1,MACOS,512
145,Macbook Pro 16 inch 2021 | Chính hãng Apple Việt Nam,60000000,APPLE,16,16.2,3456x2234,INTEL,,,5,2.1,MACOS,512
146,Laptop Intel Evo Dell Inspiron 7000,20990000,DELL,8,13.3,1920x1080,INTEL,,,,1.3,WINDOW,512
147,Laptop MSI Prestige 14 EVO A11M-206VN,22190000,MSI,8,14.0,1920x1080,INTEL,52.0,,5,1.29,WINDOW,512
148,Laptop Asus Rog Strix G15 G513IE HN192W,23690000,ASUS,16,15.6,1920x1080,INTEL,56.0,4,5,2.1,WINDOW,512
149,Laptop Asus Vivobook x415EA EB640,13790000,ASUS,4,14.0,1920x1080,INTEL,37.0,2,4,1.6,WINDOW,512
150,Laptop Intel NUC M15 BBC510EAUXBC,19990000,INTEL,16,15.6,1920x1080,INTEL,73.0,,5,1.65,WINDOW,512
151,Laptop ASUS TUF Gaming A15 FA507RM-HN018W,29990000,ASUS,8,15.6,1920x1080,INTEL,90.0,4,5,2.2,WINDOW,512
152,Laptop Asus ExpertBook B5302FEA LF0749W,21990000,ASUS,8,13.3,1920x1080,INTEL,66.0,4,5,1.3,WINDOW,512
